,date,symbol,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,totalCurrentAssetsRatio,cashAndCashEquivalentsRatio,shortTermInvestmentsRatio,netReceivablesRatio,inventoryRatio,propertyPlantEquipmentNetRatio,goodwillAndIntangibleAssetsRatio,longTermInvestmentsRatio,totalCurrentLiabilitiesRatio,accountPayablesRatio,shortTermDebtRatio,deferredRevenueRatio,longTermDebtRatio,deferredRevenueNonCurrentRatio,deferredTaxLiabilitiesNonCurrentRatio,commonStockRatio,retainedEarningsRatio,currentRatio,quickRatio,debtToEquityRatio,debtToAssetsRatio
0,2020,AAPL,38016000000,52927000000,90943000000,37445000000,4061000000,11264000000,1.43713E+11,36766000000,0,0,0,1.00887E+11,0,42522000000,1.80175E+11,90482000000,3.23888E+11,42296000000,13769000000,0,6643000000,42684000000,1.05392E+11,98667000000,0,0,26320000000,1.53157E+11,0,2.58549E+11,50779000000,14966000000,-406000000,0,65339000000,3.23888E+11,1.53814E+11,1.12436E+11,74420000000,0.443712024,0.264527217,0.368282619,0.260554021,0.028257708,0.204057167,0,0.559938948,0.407628728,0.401320783,0.13064559,0.06303135,0.644221289,0,0,0.777162185,0.229051562,1.363604448,1.218194929,3.95703944,0.798266685
1,2019,AAPL,48844000000,51713000000,1.00557E+11,45804000000,4106000000,12352000000,1.62819E+11,37378000000,0,0,0,1.05341E+11,0,32978000000,1.75697E+11,0,3.38516E+11,46236000000,16240000000,0,5522000000,37720000000,1.05718E+11,91807000000,0,0,20958000000,1.4231E+11,0,2.48028E+11,45174000000,45898000000,-584000000,0,90488000000,3.38516E+11,1.57054E+11,1.08047E+11,59203000000,0.480978743,0.299989559,0.317610353,0.281318519,0.025218187,0.212741253,0,0.599560607,0.426234135,0.437352201,0.153616224,0.0522333,0.645119809,0,0,0.499226417,0.507227478,1.540125617,1.384447303,2.741004332,0.732692103
2,2018,AAPL,25913000000,40388000000,66301000000,48995000000,3956000000,12087000000,1.31339E+11,41304000000,0,0,0,1.70799E+11,0,22283000000,2.34386E+11,0,3.65725E+11,55888000000,20748000000,0,7543000000,32687000000,1.16866E+11,93735000000,2797000000,426000000,11165000000,1.41712E+11,0,2.58578E+11,40201000000,70400000000,-3454000000,0,1.07147E+11,3.65725E+11,2.11187E+11,1.14483E+11,88570000000,0.359119557,0.197298594,0.307509574,0.37304228,0.030120528,0.176222129,0,0.728708199,0.45195647,0.478222922,0.177536666,0.064544008,0.66144716,0.019737214,0.003006097,0.375194826,0.657041261,1.123842692,0.98656581,2.413301352,0.707028505
3,2017,AAPL,20289000000,53892000000,74181000000,35673000000,4855000000,13936000000,1.28645E+11,33783000000,5717000000,2298000000,8015000000,1.94714E+11,0,10162000000,2.46674E+11,0,3.75319E+11,49049000000,18473000000,0,7548000000,0,1.00814E+11,97207000000,2836000000,31504000000,8911000000,1.40458E+11,0,2.41272E+11,35867000000,98330000000,-150000000,0,1.34047E+11,3.75319E+11,2.48606E+11,1.1568E+11,95391000000,0.342761757,0.157713086,0.418920285,0.277297991,0.037739516,0.136954037,0.032492277,0.789357614,0.417843761,0.486529649,0.183238439,0.074870554,0.692071651,0.020191089,0.224294807,0.26757033,0.733548681,1.276062848,1.089670086,1.799906003,0.642845153
4,2016,AAPL,20484000000,46671000000,67155000000,15754000000,2132000000,8283000000,1.06869E+11,27010000000,5414000000,3206000000,8620000000,1.7043E+11,26019000000,8757000000,2.14817E+11,0,3.21686E+11,37294000000,8105000000,0,8080000000,9156000000,79006000000,75427000000,2930000000,0,36074000000,1.14431E+11,0,1.93437E+11,31251000000,96364000000,634000000,-540000000,1.28249E+11,3.21686E+11,2.17101E+11,83532000000,63048000000,0.332215266,0.191673919,0.436712236,0.147414124,0.019949658,0.125734928,0.040127178,0.793372964,0.40843272,0.472040098,0.102587145,0.102270714,0.659148308,0.02560495,0,0.243674415,0.751382077,1.352669418,1.049401311,1.508292462,0.601322408
5,2015,AAPL,21120000000,20481000000,41601000000,16849000000,2349000000,15085000000,89378000000,22471000000,5116000000,3893000000,9009000000,1.64065E+11,24062000000,5422000000,2.00967E+11,0,2.90345E+11,35490000000,8499000000,0,8940000000,9952000000,80610000000,53329000000,3624000000,0,33427000000,90380000000,0,1.7099E+11,27416000000,92284000000,-345000000,308000000,1.19355E+11,2.90345E+11,1.84546E+11,61828000000,40708000000,0.307833784,0.236299761,0.22915035,0.188513952,0.026281635,0.111814377,0.044828255,0.816377813,0.471431078,0.440267957,0.105433569,0.110904354,0.590053109,0.040097367,0,0.229701311,0.773189225,1.108770624,0.725096142,1.432616983,0.588920078
6,2014,AAPL,13844000000,11233000000,25077000000,17460000000,2111000000,14124000000,68531000000,20624000000,4616000000,4142000000,8758000000,1.30162E+11,20259000000,3764000000,1.63308E+11,0,2.31839E+11,30196000000,6308000000,0,8491000000,19255000000,63448000000,28987000000,3031000000,4318000000,24826000000,56844000000,0,1.20292E+11,23313000000,87152000000,1082000000,1324000000,1.11547E+11,2.31839E+11,1.41395E+11,35295000000,21451000000,0.295597376,0.202010769,0.163911223,0.254775211,0.030803578,0.126288975,0.053628726,0.797033826,0.527449872,0.475917287,0.099419997,0.133826125,0.509939483,0.053321371,0.075962283,0.208997104,0.781302949,1.080112848,0.670423024,1.078397447,0.518860071
7,2013,AAPL,14259000000,26287000000,40546000000,13102000000,1764000000,10335000000,73286000000,16597000000,1577000000,4179000000,5756000000,1.06215E+11,16489000000,5146000000,1.33714E+11,0,2.07E+11,22367000000,0,0,7435000000,16509000000,43658000000,16960000000,2625000000,3453000000,20208000000,39793000000,0,83451000000,19764000000,1.04256E+11,-471000000,-366000000,1.23549E+11,2.07E+11,1.32502E+11,16960000000,2701000000,0.354038647,0.194566493,0.358690609,0.17877903,0.024070082,0.124123128,0.043047101,0.794344646,0.523157302,0.512323056,0,0.170300976,0.426205614,0.065966376,0.086774056,0.159968919,0.843843333,1.678638508,1.228824041,0.675448607,0.403144928
8,2012,AAPL,10746000000,18383000000,29129000000,10930000000,791000000,9041000000,57653000000,15452000000,1135000000,4224000000,5359000000,92122000000,13847000000,5478000000,1.18411E+11,0,1.76064E+11,21175000000,0,0,5953000000,14084000000,38542000000,0,2648000000,2583000000,16664000000,19312000000,0,57854000000,16422000000,1.01289E+11,499000000,491000000,1.1821E+11,1.76064E+11,1.10505E+11,0,-10746000000,0.327454789,0.186390994,0.318855914,0.189582502,0.013720015,0.130494633,0.04525762,0.777985153,0.666194213,0.549400654,0,0.15445488,0,0.137116819,0.133751036,0.138922257,0.856856442,1.495848685,1.03935966,0.489417139,0.328596419
9,2011,AAPL,9815000000,16137000000,25952000000,5369000000,776000000,6543000000,44988000000,7777000000,896000000,3536000000,4432000000,55618000000,8159000000,3556000000,71383000000,0,1.16371E+11,14632000000,0,0,4091000000,10910000000,27970000000,0,1686000000,2014000000,10100000000,11786000000,0,39756000000,13331000000,62841000000,443000000,420000000,76615000000,1.16371E+11,71755000000,0,-9815000000,0.386591161,0.21816929,0.358695652,0.119342936,0.017249044,0.108947509,0.062087612,0.779149097,0.703541604,0.523131927,0,0.146263854,0,0.143051078,0.170880706,0.173999869,0.820217973,1.608437612,1.119806936,0.518906219,0.341631506
